timestamp_utc,station_id,latitude,longitude,temp_c,pressure_hpa,humidity_pct,source,raw_timestamp_local,raw_temp_c,raw_pressure_mbar,raw_humidity_pct,quality_flags,source_row
2008-12-31T23:10:00Z,JENA,50.9271,11.5892,-8.02,996.52,93.3,jena_climate_2009_2016,2009-01-01T00:10:00,-8.02,996.52,93.3,,2
2008-12-31T23:20:00Z,JENA,50.9271,11.5892,-8.41,996.57,93.4,jena_climate_2009_2016,2009-01-01T00:20:00,-8.41,996.57,93.4,,3
2008-12-31T23:30:00Z,JENA,50.9271,11.5892,-8.51,996.53,93.9,jena_climate_2009_2016,2009-01-01T00:30:00,-8.51,996.53,93.9,,4
2008-12-31T23:40:00Z,JENA,50.9271,11.5892,-8.31,996.51,94.2,jena_climate_2009_2016,2009-01-01T00:40:00,-8.31,996.51,94.2,,5
2008-12-31T23:50:00Z,JENA,50.9271,11.5892,-8.27,996.51,94.1,jena_climate_2009_2016,2009-01-01T00:50:00,-8.27,996.51,94.1,,6
2009-01-01T00:00:00Z,JENA,50.9271,11.5892,-8.05,996.5,94.4,jena_climate_2009_2016,2009-01-01T01:00:00,-8.05,996.5,94.4,,7
2009-01-01T00:10:00Z,JENA,50.9271,11.5892,-7.62,996.5,94.8,jena_climate_2009_2016,2009-01-01T01:10:00,-7.62,996.5,94.8,,8
2009-01-01T00:20:00Z,JENA,50.9271,11.5892,-7.62,996.5,94.4,jena_climate_2009_2016,2009-01-01T01:20:00,-7.62,996.5,94.4,,9
2009-01-01T00:30:00Z,JENA,50.9271,11.5892,-7.91,996.5,93.8,jena_climate_2009_2016,2009-01-01T01:30:00,-7.91,996.5,93.8,,10
2009-01-01T00:40:00Z,JENA,50.9271,11.5892,-8.43,996.53,93.1,jena_climate_2009_2016,2009-01-01T01:40:00,-8.43,996.53,93.1,,11
2009-01-01T00:50:00Z,JENA,50.9271,11.5892,-8.76,996.62,93.1,jena_climate_2009_2016,2009-01-01T01:50:00,-8.76,996.62,93.1,,12
2009-01-01T01:00:00Z,JENA,50.9271,11.5892,-8.88,996.62,93.2,jena_climate_2009_2016,2009-01-01T02:00:00,-8.88,996.62,93.2,,13
2009-01-01T01:10:00Z,JENA,50.9271,11.5892,-8.85,996.63,93.5,jena_climate_2009_2016,2009-01-01T02:10:00,-8.85,996.63,93.5,,14
2009-01-01T01:20:00Z,JENA,50.9271,11.5892,-8.83,996.74,93.5,jena_climate_2009_2016,2009-01-01T02:20:00,-8.83,996.74,93.5,,15
2009-01-01T01:30:00Z,JENA,50.9271,11.5892,-8.66,996.81,93.9,jena_climate_2009_2016,2009-01-01T02:30:00,-8.66,996.81,93.9,,16
2009-01-01T01:40:00Z,JENA,50.9271,11.5892,-8.66,996.81,93.6,jena_climate_2009_2016,2009-01-01T02:40:00,-8.66,996.81,93.6,,17
